gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MSTRG.81|ADE1,2229.855960402199,-1.4194447881777428,0.11431804767888258,-12.416629018761226,2.123207484265231e-35,3.912768078145926e-34
MSTRG.82|KIN3,249.01916613686367,-0.0063030480132813295,0.24818581722661467,-0.02539648753387915,0.9797387127476789,0.9856798749226925
MSTRG.85|CDC15,195.12330992870437,0.09945228375888648,0.2467016504823795,0.4031277600471092,0.6868542397658933,0.8527376722781714
MSTRG.87,56.849008988549755,0.7427605842975645,0.4366535611341667,1.7010294897591436,0.08893744978072397,0.19930341284985267
MSTRG.83|PAU7,27.363594062341964,2.1682842872658155,0.6241218079161762,3.4741363941524543,0.0005125004464737351,0.0018364599331975508
MSTRG.84,52.906164535989376,0.11558352992990169,0.4389553710935072,0.2633149917768744,0.7923078055340536,0.9080544809743797
MSTRG.88|UIP3,442.37766699968006,0.5051366890432186,0.1786570700458586,2.827409454960599,0.0046926283904196245,0.014413072913431703
MSTRG.89,81.68942228299187,-1.9104129707076851,0.3865068587015087,-4.9427660278159715,7.702189895216112e-07,3.821471140318763e-06
MSTRG.91,20.475139525856697,-1.7712001358899285,0.7481029930997558,-2.3675886237949433,0.017904431366703753,0.04619343292609568
MSTRG.93|PRM9,58.976455517212756,0.6749965537351583,0.42733995549930825,1.5795306407669878,0.11421439410766374,0.23763962644981648
MSTRG.90|MST28,80.60301029224638,-0.4022070528776402,0.36595551384823233,-1.0990599612728937,0.27174191263284475,0.4381838341204622
MSTRG.94|YAT1,863.2965397685684,3.0468892981392313,0.1578513906738914,19.30226452317969,5.1406259509752795e-83,2.2104691589193703e-81
MSTRG.96|SWH1,624.2140903404784,0.08774909816781729,0.16656438883128494,0.526817879761198,0.5983200653214186,0.7814143709449193
YAR050W|FLO1,26.600967446560652,0.5932793406788779,0.6206824660112829,0.9558500089288703,0.3391480185575184,0.5147069928696456
MSTRG.97,6.097135088050068,1.6175998843918369,1.357655148841167,1.1914659519927036,0.2334707152937786,0.399385670653207
MSTRG.98,14.13055478466481,0.29942587237826146,0.8357647131107263,0.3582657507323978,0.720144446234148,0.8693126531136216
MSTRG.100,2.589111831579066,0.3003797205718932,1.882489024780087,0.15956519088178145,0.8732236012308885,0.9309573930478068
