transcript_id,batch1,batch2,chem1,chem2
YDR106W_mRNA,0,0,0,0
tI(AAU)D_tRNA,0,0,0,0
YDR107C_mRNA,0,0,0,0
YDR108W_mRNA,0,0,0,0
YDR109C_mRNA,0,0,0,0
YDR110W_mRNA,0,0,0,0
YDR111C_mRNA,0,0,0,0
YDR112W_mRNA,0,0,0,0
YDR113C_mRNA,0,0,0,0
YDR114C_mRNA,0,0,0,0
YDR115W_mRNA,0,0,0,0
YDR116C_mRNA,0,0,0,0
YDR117C_mRNA,0,0,0,0
YDR118W_mRNA,0,0,0,0
YDR118W-A_mRNA,0,0,0,0
YDR119W_mRNA,0,0,0,0
YDR119W-A_mRNA,0,0,0,0
YDR120C_mRNA,0,0,0,0
YDR121W_mRNA,0,0,0,0
YDR122W_mRNA,0,0,0,0
YDR123C_mRNA,0,0,0,0
YDR124W_mRNA,0,0,0,0
YDR125C_mRNA,0,0,0,0
YDR126W_mRNA,0,0,0,0
YDR127W_mRNA,0,0,0,0
YDR128W_mRNA,0,0,0,0
YDR129C_mRNA,0,0,0,0
YDR130C_mRNA,0,0,0,0
YDR131C_mRNA,0,0,0,0
YDR132C_mRNA,0,0,0,0
YDR133C_mRNA,0,0,0,0
YDR135C_mRNA,0,0,0,0
YDR136C_mRNA,0,0,0,0
YDR137W_mRNA,0,0,0,0
YDR138W_mRNA,0,0,0,0
YDR139C_mRNA,0,0,0,0
YDR140W_mRNA,0,0,0,0
YDR141C_mRNA,0,0,0,0
YDR142C_mRNA,0,0,0,0
YDR143C_mRNA,0,0,0,0
YDR144C_mRNA,0,0,0,0
YDR145W_mRNA,0,0,0,0
YDR146C_mRNA,0,0,0,0
YDR147W_mRNA,0,0,0,0
YDR148C_mRNA,0,0,0,0
YDR149C_mRNA,0,0,0,0
YDR150W_mRNA,0,0,0,0
YDR151C_mRNA,0,0,0,0
YDR152W_mRNA,0,0,0,0
YDR153C_mRNA,0,0,0,0
YDR154C_mRNA,0,0,0,0
YDR155C_mRNA,0,0,0,0
YDR156W_mRNA,0,0,0,0
YDR157W_mRNA,0,0,0,0
YDR158W_mRNA,0,0,0,0
YDR159W_mRNA,0,0,0,0
YDR160W_mRNA,0,0,0,0
YDR161W_mRNA,0,0,0,0
YDR162C_mRNA,0,0,0,0
YDR163W_mRNA,0,0,0,0
YDR164C_mRNA,0,0,0,0
YDR165W_mRNA,0,0,0,0
YDR166C_mRNA,0,0,0,0
YDR167W_mRNA,0,0,0,0
YDR168W_mRNA,0,0,0,0
YDR169C_mRNA,0,0,0,0
YDR169C-A_mRNA,0,0,0,0
YDR170C_mRNA,0,0,0,0
tQ(UUG)D3_tRNA,0,0,0,0
YDR171W_mRNA,0,0,0,0
YDR172W_mRNA,0,0,0,0
YDR173C_mRNA,0,0,0,0
YDR174W_mRNA,0,0,0,0
YDR175C_mRNA,0,0,0,0
YDR176W_mRNA,0,0,0,0
YDR177W_mRNA,0,0,0,0
YDR178W_mRNA,0,0,0,0
YDR179C_mRNA,0,0,0,0
YDR179W-A_mRNA,0,0,0,0
YDR180W_mRNA,0,0,0,0
YDR181C_mRNA,0,0,0,0
YDR182W_mRNA,0,0,0,0
YDR182W-A_mRNA,0,0,0,0
YDR183W_mRNA,0,0,0,0
YDR183C-A_mRNA,0,0,0,0
YDR184C_mRNA,0,0,0,0
YDR185C_mRNA,0,0,0,0
YDR186C_mRNA,0,0,0,0
YDR187C_mRNA,0,0,0,0
YDR188W_mRNA,0,0,0,0
YDR189W_mRNA,0,0,0,0
YDR190C_mRNA,0,0,0,0
YDR191W_mRNA,0,0,0,0
YDR192C_mRNA,0,0,0,0
YDR193W_mRNA,0,0,0,0
YDR194C_mRNA,0,0,0,0
YDR194W-A_mRNA,0,0,0,0
YDR195W_mRNA,0,0,0,0
YDR196C_mRNA,0,0,0,0
YDR197W_mRNA,0,0,0,0
YDR198C_mRNA,0,0,0,0
YDR199W_mRNA,0,0,0,0
YDR200C_mRNA,0,0,0,0
YDR201W_mRNA,0,0,0,0
YDR202C_mRNA,0,0,0,0
YDR203W_mRNA,0,0,0,0
YDR204W_mRNA,0,0,0,0
YDR205W_mRNA,0,0,0,0
YDR206W_mRNA,0,0,0,0
YDR207C_mRNA,0,0,0,0
YDR208W_mRNA,0,0,0,0
